origin,name,multiplicity,edge_num,like_weight_ratio,post_prob,likelihood,marginal_like,distal_length,pendant_length,classification,map_ratio,map_overlap,map_identity,edge_name
query.align,HQ869401.1.868_U_22_S67_21454,1,486,0.938284,0.982298,-16060.7,-16064.4,0.062531,0.269546,NA,NA,NA,NA,|MMETSP0086_Unidentifiedeukaryote_sp_D1_1-1472
query.align,KC583151.1.1101_U_M355_S26_33615,1,423,0.932097,0.937442,-15995.3,-15998.3,0.049031,0.219647,NA,NA,NA,NA,|MMETSP1163_Phaeomonas_parva_CCMP2877_25-1544
query.align,JN831766.1.1670_U_28_S73_6258,1,261,0.867677,0.922195,-16146.3,-16149.4,0.0890255,0.224437,NA,NA,NA,NA,|MMETSP0123_Favella_ehrenbergii_Fehren1_75-1571
query.align,JX680357_24_S69_53836,1,119,0.946585,0.952317,-16542.8,-16544.7,0.0147017,0.111148,NA,NA,NA,NA,|KJ5401961_Chrysochromulina_sp_CCMP291_1-1514
query.align,New.ReferenceOTU166_M361_S19_35597,1,481,1,1,-15656.8,-15660.6,0.138913,0.232966,NA,NA,NA,NA,|JN8111521_Amphilonche_elongata_Ei27_65-1577
query.align,FR874795.1.1775_U_14_S59_71867,1,51,1,1,-16402.2,-16404.3,0.00540432,0.0748833,NA,NA,NA,NA,|JF7940581_Bathycoccus_prasinos_MALINAS664_1-1488
query.align,FR874832.1.1791_U_M355_S26_854,1,160,0.986485,0.9867,-16654.6,-16658.3,0.197522,0.239339,NA,NA,NA,NA,|MMETSP0795_Amoebophrya_sp_Ameob2_70-1590
query.align,GQ863783.1.1597_U_M356_S18_76843,1,276,1,1,-16438.8,-16441.5,0.230545,0.132989,NA,NA,NA,NA,|MMETSP0942_Cafeteria_roenbergensis_E4_10_23-1507
query.align,EU793692.1.1683_U_M355_S26_2087,1,160,1,1,-16263.1,-16267,0.12736,0.273414,NA,NA,NA,NA,|MMETSP0795_Amoebophrya_sp_Ameob2_70-1590
query.align,KF130194.1.1764_U_M358_S15_97049,1,160,1,1,-16245.1,-16249.8,0.138745,0.339474,NA,NA,NA,NA,|MMETSP0795_Amoebophrya_sp_Ameob2_70-1590
query.align,New.ReferenceOTU169_36_S81_50728,1,160,1,1,-16654,-16656.3,0.0913149,0.0782245,NA,NA,NA,NA,|MMETSP0795_Amoebophrya_sp_Ameob2_70-1590
query.align,HQ870118.1.850_U_M358_S15_7008,1,160,1,1,-16426.4,-16429.9,0.121592,0.217773,NA,NA,NA,NA,|MMETSP0795_Amoebophrya_sp_Ameob2_70-1590
query.align,HQ865327.1.890_U_M364_S14_10865,1,160,1,1,-16565.6,-16568.5,0.138128,0.173014,NA,NA,NA,NA,|MMETSP0795_Amoebophrya_sp_Ameob2_70-1590
query.align,KC582885.1.1799_U_M365_S20_64800,1,160,1,1,-16560.3,-16563.5,0.136325,0.1932,NA,NA,NA,NA,|MMETSP0795_Amoebophrya_sp_Ameob2_70-1590
query.align,New.ReferenceOTU60_M361_S19_23105,1,160,0.918756,0.970646,-16010.4,-16014,0.214368,0.245047,NA,NA,NA,NA,|MMETSP0795_Amoebophrya_sp_Ameob2_70-1590
query.align,GU823610.1.1221_U_M362_S13_67313,1,481,0.985047,0.992249,-16625.1,-16630.3,0.282195,0.368977,NA,NA,NA,NA,|JN8111521_Amphilonche_elongata_Ei27_65-1577
query.align,HQ867080.1.873_U_10_S55_2074,1,266,0.960937,0.965482,-16285.3,-16287.4,0.0193072,0.0975851,NA,NA,NA,NA,|MMETSP0449_Strombidium_rassoulzadegani_ras09_50-1544
query.align,HM369689.1.1230_U_12_S57_6285,1,276,0.935046,0.957756,-16551.7,-16554.9,0.294923,0.179567,NA,NA,NA,NA,|MMETSP0942_Cafeteria_roenbergensis_E4_10_23-1507
query.align,KJ763475.1.1799_U_35_S80_1055,1,160,1,1,-16549,-16551.7,0.153834,0.157388,NA,NA,NA,NA,|MMETSP0795_Amoebophrya_sp_Ameob2_70-1590
query.align,AB275049.1.1726_U_10_S55_5022,1,486,1,1,-16696.3,-16699.8,0.0401586,0.234591,NA,NA,NA,NA,|MMETSP0086_Unidentifiedeukaryote_sp_D1_1-1472
query.align,KC309494.1.1640_U_29_S74_43416,1,386,1,1,-14148.6,-14152.8,5.54837e-06,0.0774616,NA,NA,NA,NA,|MMETSP1437_Eucampia_antarctica_CCMP1452_8-1530
query.align,New.ReferenceOTU175_28_S73_18346,1,489,0.973243,0.961772,-16467.4,-16470,0.00605004,0.15203,NA,NA,NA,NA,|MMETSP1055_Bigelowiella_natans_CCMP1258_1_29-1498
query.align,KJ763347.1.1764_U_M363_S24_22270,1,265,0.952305,0.970172,-16091.3,-16094.5,0.0120737,0.239489,NA,NA,NA,NA,|MMETSP0449_Strombidium_rassoulzadegani_ras09_50-1544
query.align,KJ760396.1.1806_U_7_S52_8425,1,499,1,1,-16487.9,-16495.6,0.0766135,0.620444,NA,NA,NA,NA,|MMETSP0232_Debaryomyces_hansenii_J26_79-1593
query.align,HQ869559.1.869_U_16_S61_27407,1,160,1,1,-16040.3,-16043,0.110293,0.142706,NA,NA,NA,NA,|MMETSP0795_Amoebophrya_sp_Ameob2_70-1590
query.align,AF472553.1.1817_U_35_S80_4836,1,160,1,1,-16620.3,-16623.2,0.139901,0.152544,NA,NA,NA,NA,|MMETSP0795_Amoebophrya_sp_Ameob2_70-1590
query.align,FJ410915.1.1726_U_42_S87_59855,1,483,0.565083,0.980082,-15957.6,-15971.7,1.89396,1.38215,NA,NA,NA,NA,|MMETSP1114_Neobodo_designis_CCAP1951_1_78-1205
query.align,KF031827.1.1754_U_15_S60_60732,1,185,0.830493,0.923771,-16325.5,-16330,0.102736,0.377631,NA,NA,NA,NA,|MMETSP1424_Oxyrrhis_marina_LB1974_1-1182
query.align,AB088322.1.1800_U_36_S81_59713,1,190,1,1,-16449.9,-16452.6,0.0153343,0.119689,NA,NA,NA,NA,|MMETSP0196_Alexandrium_fundyense_CCMP1719_24-1540
query.align,KJ759003.1.1801_U_17_S62_17362,1,160,1,1,-16504.2,-16507.1,0.154834,0.172346,NA,NA,NA,NA,|MMETSP0795_Amoebophrya_sp_Ameob2_70-1590
query.align,KF129939.1.1755_U_M360_S11_12135,1,160,0.915867,0.946425,-16304.7,-16308.1,0.200965,0.231139,NA,NA,NA,NA,|MMETSP0795_Amoebophrya_sp_Ameob2_70-1590
query.align,KF031587.1.1745_U_38_S83_36820,1,31,1,1,-16584,-16586.5,0.0196024,0.119013,NA,NA,NA,NA,|MMETSP1310_Unidentifiedeukaryote_sp_RC2339_3-1516
query.align,EF526908.1.1342_U_M355_S26_2402,1,160,1,1,-16679.1,-16681.8,0.142446,0.12899,NA,NA,NA,NA,|MMETSP0795_Amoebophrya_sp_Ameob2_70-1590
query.align,HQ870201.1.848_U_42_S87_5788,1,160,1,1,-16537.2,-16539.9,0.13937,0.141881,NA,NA,NA,NA,|MMETSP0795_Amoebophrya_sp_Ameob2_70-1590
query.align,FJ176219.1.1688_U_35_S80_61906,1,481,0.711471,0.945087,-16277.9,-16288.1,0.23118,0.861379,NA,NA,NA,NA,|JN8111521_Amphilonche_elongata_Ei27_65-1577
query.align,EU793678.1.1564_U_10_S55_5196,1,160,0.994362,0.992155,-16308.3,-16311.5,0.164025,0.197915,NA,NA,NA,NA,|MMETSP0795_Amoebophrya_sp_Ameob2_70-1590
query.align,KF031847.1.1770_U_M367_S17_108811,1,481,0.995387,0.998428,-16331,-16336.5,0.256057,0.41369,NA,NA,NA,NA,|JN8111521_Amphilonche_elongata_Ei27_65-1577
query.align,New.ReferenceOTU124_40_S85_6636,1,160,1,1,-16563,-16565.5,0.173848,0.122137,NA,NA,NA,NA,|MMETSP0795_Amoebophrya_sp_Ameob2_70-1590
query.align,KF129638.1.1759_U_10_S55_46573,1,160,1,1,-16242.7,-16245.6,0.134042,0.159153,NA,NA,NA,NA,|MMETSP0795_Amoebophrya_sp_Ameob2_70-1590
query.align,HQ869588.1.874_U_10_S55_35448,1,160,1,1,-16414,-16417.3,0.139228,0.2051,NA,NA,NA,NA,|MMETSP0795_Amoebophrya_sp_Ameob2_70-1590
query.align,JQ226612.1.1605_U_18_S63_39905,1,499,0.80297,0.92034,-15176.1,-15183.4,0.140481,0.598917,NA,NA,NA,NA,|MMETSP0232_Debaryomyces_hansenii_J26_79-1593
query.align,JQ886456.1.1017_U_29_S74_31931,1,328,1,1,-16488.7,-16491.8,5.73451e-06,0.0942826,NA,NA,NA,NA,|KC8993471_Cylindrotheca_closterium_10-1533
query.align,KJ759322.1.1793_U_M358_S15_159349,1,499,0.944477,0.963967,-15950.5,-15957.7,0.110681,0.586989,NA,NA,NA,NA,|MMETSP0232_Debaryomyces_hansenii_J26_79-1593
query.align,HQ868594.1.910_U_15_S60_2,1,499,0.931368,0.972927,-15618.5,-15625.3,0.141769,0.552061,NA,NA,NA,NA,|MMETSP0232_Debaryomyces_hansenii_J26_79-1593
query.align,GU820488.1.1204_U_M355_S26_24497,1,160,1,1,-16493.8,-16496.9,0.136958,0.186601,NA,NA,NA,NA,|MMETSP0795_Amoebophrya_sp_Ameob2_70-1590
query.align,EU793772.1.1655_U_M361_S19_31547,1,160,1,1,-16388.3,-16390.6,0.124233,0.0804507,NA,NA,NA,NA,|MMETSP0795_Amoebophrya_sp_Ameob2_70-1590
query.align,AJ877014.1.1775_U_28_S73_1440,1,262,1,1,-16095.3,-16097.3,0.0169313,0.075582,NA,NA,NA,NA,|MMETSP0463_Strombidinopsis_sp_SopsisLIS2011_40-1540
query.align,GQ426346.1.1652_U_10_S55_23153,1,50,1,1,-16186.3,-16188.3,0.0143873,0.0434424,NA,NA,NA,NA,|MMETSP0930_Ostreococcus_mediterraneus_clade_D_RCC1621_65-1576
query.align,FJ431574.1.832_U_27_S72_53521,1,55,0.996243,0.995685,-16458.7,-16460.3,0.00504085,0.04635,NA,NA,NA,NA,|KT8609111_Micromonas_pusilla_RCC966_1-1506
query.align,JQ781975.1.1808_U_3_S48_29420,1,276,1,1,-16301.6,-16304.3,0.26074,0.128931,NA,NA,NA,NA,|MMETSP0942_Cafeteria_roenbergensis_E4_10_23-1507
query.align,AY628347.1.822_U_M367_S17_103713,1,228,0.980534,0.982757,-16635.1,-16637.9,7.5404e-06,0.155147,NA,NA,NA,NA,|M885211_Symbiodinium_microadriaticum_75-1595
query.align,KJ759417.1.1743_U_M355_S26_3462,1,261,0.98952,0.996581,-16078.1,-16080.9,0.0842269,0.182948,NA,NA,NA,NA,|MMETSP0123_Favella_ehrenbergii_Fehren1_75-1571
query.align,EU371322.1.1217_U_10_S55_27,1,499,1,1,-16484.7,-16492,0.0774371,0.590628,NA,NA,NA,NA,|MMETSP0232_Debaryomyces_hansenii_J26_79-1593
query.align,EU545666.1.986_U_17_S62_2505,1,486,1,1,-16743.6,-16746.6,0.0195173,0.16878,NA,NA,NA,NA,|MMETSP0086_Unidentifiedeukaryote_sp_D1_1-1472
query.align,HQ869716.1.901_U_M355_S26_31770,1,160,0.981704,0.976227,-16009.5,-16014.9,0.139546,0.41654,NA,NA,NA,NA,|MMETSP0795_Amoebophrya_sp_Ameob2_70-1590
query.align,KF130592.1.1764_U_11_S56_3215,1,160,1,1,-16244,-16246.8,0.133947,0.159716,NA,NA,NA,NA,|MMETSP0795_Amoebophrya_sp_Ameob2_70-1590
query.align,KF130138.1.1751_U_10_S55_14830,1,160,1,1,-16631.2,-16634.6,0.119058,0.21764,NA,NA,NA,NA,|MMETSP0795_Amoebophrya_sp_Ameob2_70-1590
query.align,GU819930.1.1074_U_M358_S15_92102,1,160,1,1,-16610.9,-16615.3,0.109646,0.305122,NA,NA,NA,NA,|MMETSP0795_Amoebophrya_sp_Ameob2_70-1590
query.align,GQ468541.1.1704_U_M371_S23_6739,1,328,1,1,-16381.7,-16384.8,5.73451e-06,0.101665,NA,NA,NA,NA,|KC8993471_Cylindrotheca_closterium_10-1533
query.align,HQ866309.1.890_U_10_S55_2961,1,160,1,1,-16527.3,-16529.4,0.160268,0.0668524,NA,NA,NA,NA,|MMETSP0795_Amoebophrya_sp_Ameob2_70-1590
query.align,KF130224.1.1757_U_11_S56_55103,1,160,1,1,-16498.1,-16501.6,0.06272,0.214018,NA,NA,NA,NA,|MMETSP0795_Amoebophrya_sp_Ameob2_70-1590
query.align,AB075544.1.1782_U_1_S46_220,1,499,1,1,-16088.8,-16092.1,0.0750531,0.192052,NA,NA,NA,NA,|MMETSP0232_Debaryomyces_hansenii_J26_79-1593
query.align,JN680940.1.1832_U_2_S47_18095,1,500,0.541335,0.999891,-16457.8,-16463.3,2.26365,0.879521,NA,NA,NA,NA,|MMETSP0758_Percolomonas_cosmopolitus_AE_1_ATCC50343__30-1031
query.align,HQ868908.1.926_U_37_S82_65544,1,486,1,1,-16771.1,-16775.4,0.0323391,0.313829,NA,NA,NA,NA,|MMETSP0086_Unidentifiedeukaryote_sp_D1_1-1472
query.align,JQ222890.1.1609_U_23_S68_47383,1,51,1,1,-16402.7,-16404.8,0.00540623,0.0747448,NA,NA,NA,NA,|JF7940581_Bathycoccus_prasinos_MALINAS664_1-1488
query.align,JX567489.1.1532_U_M360_S11_47173,1,261,0.763535,0.91557,-15817.5,-15820.5,0.106699,0.212597,NA,NA,NA,NA,|MMETSP0123_Favella_ehrenbergii_Fehren1_75-1571
query.align,New.ReferenceOTU200_M370_S22_2555,1,160,0.951543,0.988027,-16670,-16673.4,0.202468,0.220788,NA,NA,NA,NA,|MMETSP0795_Amoebophrya_sp_Ameob2_70-1590
query.align,JF791100.1.1777_U_36_S81_6891,1,486,0.993238,0.995289,-16781.7,-16785.1,0.0423501,0.233079,NA,NA,NA,NA,|MMETSP0086_Unidentifiedeukaryote_sp_D1_1-1472
query.align,HQ869456.1.894_U_M355_S26_11051,1,160,0.998918,0.998668,-16553.8,-16556.6,0.154078,0.149664,NA,NA,NA,NA,|MMETSP0795_Amoebophrya_sp_Ameob2_70-1590
query.align,HQ865502.1.886_U_16_S61_9752,1,160,1,1,-16612.4,-16616.2,0.151544,0.262005,NA,NA,NA,NA,|MMETSP0795_Amoebophrya_sp_Ameob2_70-1590
query.align,KJ763095.1.1799_U_M367_S17_39324,1,499,0.848674,0.943894,-15528.2,-15536.2,0.134739,0.661389,NA,NA,NA,NA,|MMETSP0232_Debaryomyces_hansenii_J26_79-1593
query.align,FJ431431.1.821_U_10_S55_7694,1,50,1,1,-16190.2,-16192.2,0.0144091,0.0543846,NA,NA,NA,NA,|MMETSP0930_Ostreococcus_mediterraneus_clade_D_RCC1621_65-1576
query.align,EU793103.1.1445_U_35_S80_9296,1,160,1,1,-16272.9,-16274.9,0.159773,0.0635174,NA,NA,NA,NA,|MMETSP0795_Amoebophrya_sp_Ameob2_70-1590
query.align,FJ969119.1.1733_U_M355_S26_14694,1,160,0.894578,0.945317,-16304.2,-16312.1,0.162179,0.660642,NA,NA,NA,NA,|MMETSP0795_Amoebophrya_sp_Ameob2_70-1590
query.align,EU793715.1.1685_U_12_S57_57308,1,160,1,1,-16299,-16301.8,0.162856,0.162237,NA,NA,NA,NA,|MMETSP0795_Amoebophrya_sp_Ameob2_70-1590
query.align,JQ697714.1.1707_U_M355_S26_24215,1,481,1,1,-16470.3,-16474.3,0.00306524,0.0976712,NA,NA,NA,NA,|JN8111521_Amphilonche_elongata_Ei27_65-1577
query.align,HQ867706.1.868_U_14_S59_146,1,160,0.988288,0.98061,-16649.4,-16652,0.170127,0.131262,NA,NA,NA,NA,|MMETSP0795_Amoebophrya_sp_Ameob2_70-1590
query.align,AB073118.1.1749_U_M358_S15_263,1,163,1,1,-16525.4,-16527.9,0.00463119,0.0871153,NA,NA,NA,NA,|MMETSP0797_Dinophysis_acuminata_DAEP01_42-1565
query.align,DQ781333.1.1147_U_15_S60_23958,1,486,1,1,-16635.8,-16639.5,0.0506914,0.262487,NA,NA,NA,NA,|MMETSP0086_Unidentifiedeukaryote_sp_D1_1-1472
query.align,JN376804.1.1694_U_10_S55_2869,1,27,0.999389,0.999128,-16398.8,-16401.7,8.96568e-06,0.0836515,NA,NA,NA,NA,|KT8609161_Tetraselmis_sp_RCC1755_12-1535
query.align,KF129697.1.1754_U_M370_S22_406,1,480,0.889245,0.906708,-15939.5,-15943.4,0.0728535,0.245158,NA,NA,NA,NA,|AB6905541_Collozoum_inerme_GFColony03_1-1434
query.align,FJ832116.1.1590_U_10_S55_24184,1,160,1,1,-16449.9,-16452.3,0.177576,0.114979,NA,NA,NA,NA,|MMETSP0795_Amoebophrya_sp_Ameob2_70-1590
query.align,KJ760742.1.1793_U_10_S55_26240,1,160,1,1,-16589.3,-16591.9,0.141672,0.125768,NA,NA,NA,NA,|MMETSP0795_Amoebophrya_sp_Ameob2_70-1590
query.align,GU821043.1.1217_U_M370_S22_38680,1,481,0.98925,0.995489,-16504.3,-16509.6,0.270142,0.388355,NA,NA,NA,NA,|JN8111521_Amphilonche_elongata_Ei27_65-1577
query.align,EU793684.1.1573_U_M358_S15_103716,1,160,1,1,-16515.3,-16518.8,0.137691,0.224894,NA,NA,NA,NA,|MMETSP0795_Amoebophrya_sp_Ameob2_70-1590
query.align,KC309491.1.1615_U_41_S86_43958,1,400,1,1,-16508.7,-16511.9,6.86284e-06,0.0789196,NA,NA,NA,NA,|MMETSP0580_Dactyliosolen_fragilissimus_28-1552
query.align,HQ867205.1.879_U_11_S56_54543,1,499,0.88236,0.944696,-15265.8,-15272.4,0.134656,0.531007,NA,NA,NA,NA,|MMETSP0232_Debaryomyces_hansenii_J26_79-1593
query.align,HM853807.1.1221_U_15_S60_5993,1,163,1,1,-16540.6,-16544.3,8.72027e-06,0.126257,NA,NA,NA,NA,|MMETSP0797_Dinophysis_acuminata_DAEP01_42-1565
query.align,EU793287.1.1534_U_13_S58_58239,1,160,1,1,-16486,-16488.4,0.159556,0.101205,NA,NA,NA,NA,|MMETSP0795_Amoebophrya_sp_Ameob2_70-1590
query.align,KM886380.1.1717_U_10_S55_26698,1,190,0.92672,0.945324,-16534.9,-16537.4,0.0705956,0.1426,NA,NA,NA,NA,|MMETSP0196_Alexandrium_fundyense_CCMP1719_24-1540
query.align,EU371277.1.1806_U_15_S60_10465,1,499,0.929803,0.972006,-15612,-15618.8,0.142431,0.547952,NA,NA,NA,NA,|MMETSP0232_Debaryomyces_hansenii_J26_79-1593
query.align,HQ868929.1.920_U_15_S60_1364,1,499,0.929803,0.972006,-15612,-15618.8,0.142431,0.547952,NA,NA,NA,NA,|MMETSP0232_Debaryomyces_hansenii_J26_79-1593
query.align,HQ869005.1.902_U_12_S57_40837,1,486,1,1,-16599.8,-16602.6,0.0520831,0.168773,NA,NA,NA,NA,|MMETSP0086_Unidentifiedeukaryote_sp_D1_1-1472
query.align,EU024987_M362_S13_74234,1,119,0.966631,0.969815,-16645.7,-16647.6,0.0127114,0.104692,NA,NA,NA,NA,|KJ5401961_Chrysochromulina_sp_CCMP291_1-1514
query.align,KF130240.1.1749_U_M355_S26_21976,1,276,0.94394,0.973241,-16292,-16295.1,0.270624,0.174506,NA,NA,NA,NA,|MMETSP0942_Cafeteria_roenbergensis_E4_10_23-1507
query.align,GU819829.1.1072_U_M360_S11_42871,1,160,1,1,-16482.2,-16485.2,0.141467,0.178625,NA,NA,NA,NA,|MMETSP0795_Amoebophrya_sp_Ameob2_70-1590
query.align,KJ758107.1.1793_U_M359_S10_22550,1,165,0.998391,0.994854,-16288,-16290.9,6.82063e-06,0.0663094,NA,NA,NA,NA,|U523571_Scrippsiella_nutricula_79-1600
query.align,JQ226563.1.1607_U_13_S58_27740,1,499,0.798718,0.905912,-15173,-15180.1,0.140229,0.585086,NA,NA,NA,NA,|MMETSP0232_Debaryomyces_hansenii_J26_79-1593
query.align,HM853813.1.1222_U_M367_S17_99828,1,163,1,1,-16557.1,-16559.3,0.015781,0.0846618,NA,NA,NA,NA,|MMETSP0797_Dinophysis_acuminata_DAEP01_42-1565
query.align,GU823223.1.1211_U_33_S78_32661,1,466,1,1,-16507.5,-16509.5,0.0134429,0.0633622,NA,NA,NA,NA,|MMETSP1103_Paraphysomonas_bandaiensis_CaronLabIsolate_80-1600
query.align,KJ761835.1.1770_U_33_S78_27414,1,266,0.889947,0.935351,-16331.3,-16333.9,0.0328002,0.180026,NA,NA,NA,NA,|MMETSP0449_Strombidium_rassoulzadegani_ras09_50-1544
query.align,EU399533.1.1309_U_M358_S15_108217,1,261,0.94195,0.97551,-16156.2,-16160.1,0.061162,0.297665,NA,NA,NA,NA,|MMETSP0123_Favella_ehrenbergii_Fehren1_75-1571
query.align,FJ422992.1.1775_U_28_S73_6134,1,266,0.985325,0.986747,-16019.4,-16021.4,0.0218451,0.0693125,NA,NA,NA,NA,|MMETSP0449_Strombidium_rassoulzadegani_ras09_50-1544
