DSYB	TpMT2	TpMT1	MMETSPstrain
0	1	0	Staurosiracomplex-sp-CCMP2646
0	0	0	Stephanopyxis-turris-CCMP815
0	0	0	Stichococcus-sp-RCC1054
0	0	0	Striatella-unipunctata-CCMP2910
1	0	0	Strombidinopsis-acuminatum-SPMC142
0	0	0	Strombidinopsis-sp-SopsisLIS2011
0	0	0	Strombidium-inclinatum-S3
0	0	0	Strombidium-rassoulzadegani-ras09
0	0	1	Stygamoeba-regulata-BSH-02190019
1	0	0	Symbiodinium-kawagutii-CCMP2468
1	0	0	Symbiodinium-sp-C1
1	0	0	Symbiodinium-sp-C15
1	0	0	Symbiodinium-sp-CCMP2430
1	0	0	Symbiodinium-sp-CCMP421
1	0	0	Symbiodinium-sp-D1a
1	0	0	Symbiodinium-sp-Mp
1	0	0	Symbiodinium-sp-cladeA
0	0	0	Synchroma-pusillum-CCMP3072
0	0	0	Synedropsis-rectacf-CCMP1620
0	0	0	Tetraselmis-astigmatica-CCMP880
0	0	1	Tetraselmis-chuii-PLY429
0	0	0	Tetraselmis-sp-GSL018
0	0	1	Tetraselmis-striata-LANL1001
0	0	1	Thalassionema-frauenfeldii-CCMP1798
0	0	0	Thalassionema-nitzschioides
0	0	1	Thalassionema-nitzschioides-L26-B
1	1	1	Thalassiosira-antarctica-CCMP982
0	1	0	Thalassiosira-gravida-GMp14c1
1	1	0	Thalassiosira-miniscula-CCMP1093
0	1	1	Thalassiosira-oceanica-CCMP1005
1	1	1	Thalassiosira-punctigera-Tpunct2005C2
0	1	1	Thalassiosira-rotula-CCMP3096
0	1	1	Thalassiosira-rotula-GSO102
0	0	0	Thalassiosira-sp-FW
1	1	1	Thalassiosira-sp-NH16
0	0	1	Thalassiosira-weissflogii-CCMP1010
0	0	1	Thalassiosira-weissflogii-CCMP1336
0	0	1	Thalassiothrix-antarctica-L6-D1
0	0	0	Thoracosphaera-heimii-CCCM670=CCMP1069
0	0	0	Thraustochytrium-sp-LLF1b
0	1	1	Tiarina-fusus-LIS
0	0	0	Timspurckia-oligopyrenoides-CCMP3278
1	0	0	Togula-jolla-CCCM725
0	0	0	Triceratium-dubium-CCMP147
0	0	0	Trichosphaerium-sp-Am-I-7wt
0	0	0	Unidentifiedeukaryote-sp
0	0	0	Unidentifiedeukaryote-sp-CCMP1205
1	0	0	Unidentifiedeukaryote-sp-CCMP2000
0	0	0	Unidentifiedeukaryote-sp-CCMP2097
1	0	1	Unidentifiedeukaryote-sp-CCMP2098
0	0	0	Unidentifiedeukaryote-sp-CCMP2111
0	0	0	Unidentifiedeukaryote-sp-CCMP2135
0	0	1	Unidentifiedeukaryote-sp-CCMP2175
0	1	0	Unidentifiedeukaryote-sp-CCMP2293
0	0	0	Unidentifiedeukaryote-sp-CCMP2298
0	0	1	Unidentifiedeukaryote-sp-CCMP2436
0	0	0	Unidentifiedeukaryote-sp-D1
0	0	0	Unidentifiedeukaryote-sp-NY0313808BC1
0	0	0	Unidentifiedeukaryote-sp-NY070348D
1	0	1	Unidentifiedeukaryote-sp-RC2339
0	0	0	Unidentifiedeukaryote-sp-RCC1024
0	0	1	Unidentifiedeukaryote-sp-RCC1871
0	0	0	Unidentifiedeukaryote-sp-RCC2288
0	0	0	Unidentifiedeukaryote-sp-RCC2335
0	0	0	Unidentifiedeukaryote-sp-RCC701
0	0	0	Unidentifiedeukaryote-sp-RCC856
0	0	1	Unidentifiedeukaryote-sp-RCC998
0	0	0	Uronema-sp-Bbcil
0	0	0	Vannella-robusta-DIVA3518-3-11-1-6
0	0	0	Vannella-sp-DIVA3517-6-12
0	0	0	Vaucheria-litorea-CCMP2940
0	0	0	Vexillifera-sp-DIVA3564-2
0	0	0	Vitrella-brassicaformis-CCMP3346
