DSYB	TpMT2	Both	origin	name	multiplicity	edge_num	like_weight_ratio	post_prob	likelihood	marginal_like	distal_length	pendant_length	classification	map_ratio	map_overlap	map_identity	edge_name	genus	family	order	class	norank	norank	kingdom	generic
0	0	0	query.align	KF130039.1.1756_U_6_S51_2584	1	493	1	1	-26336.7	-26339.4	0.195733	0.044622	NA	NA	NA	NA	MMETSP0795_Amoebophrya_sp_Ameob2	Amoebophyra	Goniodomaceae	Syndiniales	Dinophyceae			Eukaryota	Dinophyceae
0	0	0	query.align	HQ870299.1.848_U_10_S55_5250	1	493	1	1	-24689.8	-24693	0.194913	0.140745	NA	NA	NA	NA	MMETSP0795_Amoebophrya_sp_Ameob2	Amoebophyra	Goniodomaceae	Syndiniales	Dinophyceae			Eukaryota	Dinophyceae
0	0	0	query.align	FJ405356.1.1698_U_28_S73_17325	1	517	1	1	-24289.9	-24293.5	0.0286618	0.155868	NA	NA	NA	NA	MMETSP0229_Pyrocystis_lunula_CCCM517	Pyrocystis	Pyrocystaceae	Pyrocystales	Dinophyceae			Eukaryota	Dinophyceae
0	0	0	query.align	KF130055.1.1760_U_2_S47_4385	1	493	1	1	-26920.6	-26923.4	0.230422	0.0771265	NA	NA	NA	NA	MMETSP0795_Amoebophrya_sp_Ameob2	Amoebophyra	Goniodomaceae	Syndiniales	Dinophyceae			Eukaryota	Dinophyceae
0	0	0	query.align	JQ781885.1.1796_U_30_S75_2530	1	109	1	1	-26781.5	-26784.1	0.02865	0.0108326	NA	NA	NA	NA	MMETSP1057_Cyclotella_meneghiniana_CCMP338	Cyclotella	Stephanodiscaceae	Thalassiosirales	Coscinodiscophyceae	Bacillariophyta		Eukaryota	Bacillariophyta
0	0	0	query.align	New.ReferenceOTU24_29_S74_26350	1	614	1	1	-25968.5	-25971.1	0.100886	0.0889146	NA	NA	NA	NA	MMETSP0123_Favella_ehrenbergii_Fehren1	Favella	Xystonellidae	Tintinnida	Spirotrichea			Eukaryota	Spirotrichea
0	0	0	query.align	EU793682.1.1457_U_M361_S19_67762	1	493	1	1	-25593.7	-25597.1	0.197452	0.158297	NA	NA	NA	NA	MMETSP0795_Amoebophrya_sp_Ameob2	Amoebophyra	Goniodomaceae	Syndiniales	Dinophyceae			Eukaryota	Dinophyceae
0	0	0	query.align	HQ866233.1.883_U_10_S55_3239	1	127	1	1	-26578	-26580.9	0.056617	0.131696	NA	NA	NA	NA	MMETSP1336_Chaetoceros_cf_neogracile_RCC1993	Chaetoceros	Chaetocerotaceae	Chaetocerotales	Coscinodiscophyceae	Bacillariophyta		Eukaryota	Bacillariophyta
0	0	0	query.align	FN690443.1.1696_U_6_S51_24505	1	629	1	1	-26068.5	-26071.5	0.0701964	0.155766	NA	NA	NA	NA	MMETSP0086_Unidentifiedeukaryote_sp_D1								Unidentified
0	0	0	query.align	AB275049.1.1726_U_10_S55_5022	1	629	1	1	-27318.6	-27321.5	0.0535565	0.126832	NA	NA	NA	NA	MMETSP0086_Unidentifiedeukaryote_sp_D1								Unidentified
0	0	0	query.align	HQ868779.1.914_U_15_S60_25647	1	629	1	1	-25930.7	-25933.5	0.0722832	0.129899	NA	NA	NA	NA	MMETSP0086_Unidentifiedeukaryote_sp_D1								Unidentified
0	1	0	query.align	DQ222878.1.1801_U_30_S75_63740	1	318	0.912444	0.901825	-26909.6	-26913.2	0.0807394	0.206639	NA	NA	NA	NA	MMETSP1049_Proteomonas_sulcata_CCMP704	Proteomonas	Geminigeraceae	Pyrenomonadales		Cryptophyta		Eukaryota	Cryptophyta
0	1	0	query.align	AJ629844.1.1739_U_32_S77_24933	1	389	0.998101	0.999227	-25932.5	-25934.6	0.0226113	0.0299558	NA	NA	NA	NA	MMETSP0803_Crustomastix_stigmata_CCMP3273	Crustomastix	Crustomastigaceae	Dolichomastigales	Mamiellophyceae	Chlorophyta	Viridiplantae	Eukaryota	Chlorophyta
0	0	0	query.align	KJ763573.1.1801_U_M355_S26_6504	1	493	1	1	-27023.3	-27026.2	0.215382	0.0943192	NA	NA	NA	NA	MMETSP0795_Amoebophrya_sp_Ameob2	Amoebophyra	Goniodomaceae	Syndiniales	Dinophyceae			Eukaryota	Dinophyceae
0	1	0	query.align	AF525849.1.1766_U_20_S65_31981	1	394	1	1	-24225.6	-24228	0.00854133	0.0496138	NA	NA	NA	NA	MMETSP0933_Bathycoccus_prasinos_BCC99000	Bathycoccus	Bathycoccaceae	Mamiellales	Mamiellophyceae	Chlorophyta	Viridiplantae	Eukaryota	Chlorophyta
0	0	0	query.align	GU819829.1.1072_U_M360_S11_42871	1	493	1	1	-26768.7	-26771.5	0.217971	0.0700961	NA	NA	NA	NA	MMETSP0795_Amoebophrya_sp_Ameob2	Amoebophyra	Goniodomaceae	Syndiniales	Dinophyceae			Eukaryota	Dinophyceae
0	0	0	query.align	EU087212.1.903_U_28_S73_4982	1	629	1	1	-25183.4	-25186.1	0.0691843	0.133819	NA	NA	NA	NA	MMETSP0086_Unidentifiedeukaryote_sp_D1								Unidentified
0	0	0	query.align	KC582889.1.1798_U_15_S60_40766	1	493	1	1	-26895	-26898.4	0.217851	0.156524	NA	NA	NA	NA	MMETSP0795_Amoebophrya_sp_Ameob2	Amoebophyra	Goniodomaceae	Syndiniales	Dinophyceae			Eukaryota	Dinophyceae
0	0	0	query.align	AY129037.1.1791_U_15_S60_2543	1	493	1	1	-27016	-27019.9	0.248891	0.207423	NA	NA	NA	NA	MMETSP0795_Amoebophrya_sp_Ameob2	Amoebophyra	Goniodomaceae	Syndiniales	Dinophyceae			Eukaryota	Dinophyceae
0	0	0	query.align	HQ865663.1.885_U_11_S56_13816	1	629	0.90309	0.950889	-26847.3	-26850.8	0.0993215	0.210396	NA	NA	NA	NA	MMETSP0086_Unidentifiedeukaryote_sp_D1								Unidentified
0	0	0	query.align	JQ956272.1.1699_U_M366_S25_67336	1	519	0.907461	0.9155	-24670.2	-24672.4	0.0217616	0.0755211	NA	NA	NA	NA	MMETSP0229_Pyrocystis_lunula_CCCM517	Pyrocystis	Pyrocystaceae	Pyrocystales	Dinophyceae			Eukaryota	Dinophyceae
0	0	0	query.align	HQ869147.1.920_U_M367_S17_73779	1	612	0.904425	0.91758	-25904.5	-25906.7	0.0513384	0.0452248	NA	NA	NA	NA	MMETSP0208_Strombidium_inclinatum_S3	Strombidium	Strombidiidae		Spirotrichea			Eukaryota	Spirotrichea
1	0	0	query.align	HQ864929_12_S57_31462	1	250	0.935717	0.96505	-26450.6	-26452.6	0.034772	0.0164271	NA	NA	NA	NA	MMETSP0287_Chrysochromulina_rotalis_UIO044	Chrysochromulina	Chrysochromulinaceae	Prymnesiales	Haptophyceae			Eukaryota	Haptophyceae
1	0	0	query.align	FN599060_13_S58_64467	1	250	0.960104	0.981011	-26553.6	-26556.1	0.0341045	0.00409426	NA	NA	NA	NA	MMETSP0287_Chrysochromulina_rotalis_UIO044	Chrysochromulina	Chrysochromulinaceae	Prymnesiales	Haptophyceae			Eukaryota	Haptophyceae
0	0	0	query.align	EU793684.1.1573_U_M358_S15_103716	1	493	1	1	-26853.1	-26856.1	0.200234	0.113908	NA	NA	NA	NA	MMETSP0795_Amoebophrya_sp_Ameob2	Amoebophyra	Goniodomaceae	Syndiniales	Dinophyceae			Eukaryota	Dinophyceae
0	0	0	query.align	FN690438.1.1700_U_10_S55_50088	1	629	1	1	-21943.2	-21945.6	0.0623781	0.0964441	NA	NA	NA	NA	MMETSP0086_Unidentifiedeukaryote_sp_D1								Unidentified
0	1	0	query.align	HQ870284.1.847_U_28_S73_42363	1	389	0.998292	0.999518	-26050.4	-26052.6	0.0168913	0.0739731	NA	NA	NA	NA	MMETSP0803_Crustomastix_stigmata_CCMP3273	Crustomastix	Crustomastigaceae	Dolichomastigales	Mamiellophyceae	Chlorophyta	Viridiplantae	Eukaryota	Chlorophyta
0	0	0	query.align	New.ReferenceOTU194_M361_S19_60301	1	128	0.878075	0.901731	-26741.3	-26745.6	0.0990929	0.271785	NA	NA	NA	NA	MMETSP0716_Chaetoceros_curvisetus	Chaetoceros	Chaetocerotaceae	Chaetocerotales	Coscinodiscophyceae	Bacillariophyta		Eukaryota	Bacillariophyta
0	0	0	query.align	GQ863785.1.1606_U_M355_S26_196	1	661	0.933522	0.912412	-26115.7	-26118.9	0.262552	0.137143	NA	NA	NA	NA	MMETSP0942_Cafeteria_roenbergensis_E4_10	Cafeteria	Cafeteriaceae	Bicosoecida				Eukaryota	Bicosoecida
0	0	0	query.align	KF129875.1.1761_U_16_S61_9032	1	493	1	1	-26336.5	-26339.1	0.187632	0.045109	NA	NA	NA	NA	MMETSP0795_Amoebophrya_sp_Ameob2	Amoebophyra	Goniodomaceae	Syndiniales	Dinophyceae			Eukaryota	Dinophyceae
0	0	0	query.align	EU818631.1.1037_U_13_S58_21168	1	493	1	1	-26334.3	-26336.9	0.195842	0.0439045	NA	NA	NA	NA	MMETSP0795_Amoebophrya_sp_Ameob2	Amoebophyra	Goniodomaceae	Syndiniales	Dinophyceae			Eukaryota	Dinophyceae
0	0	0	query.align	HQ870698.1.850_U_10_S55_15326	1	493	1	1	-26988.8	-26992	0.199236	0.133393	NA	NA	NA	NA	MMETSP0795_Amoebophrya_sp_Ameob2	Amoebophyra	Goniodomaceae	Syndiniales	Dinophyceae			Eukaryota	Dinophyceae
0	0	0	query.align	KC582894.1.1795_U_41_S86_53118	1	493	1	1	-26538.2	-26540.9	0.172093	0.0576424	NA	NA	NA	NA	MMETSP0795_Amoebophrya_sp_Ameob2	Amoebophyra	Goniodomaceae	Syndiniales	Dinophyceae			Eukaryota	Dinophyceae
0	0	0	query.align	AB275046.1.1741_U_17_S62_2269	1	629	1	1	-27567.6	-27570.6	0.0467242	0.142994	NA	NA	NA	NA	MMETSP0086_Unidentifiedeukaryote_sp_D1								Unidentified
0	0	0	query.align	KF129691.1.1757_U_M356_S18_56611	1	493	1	1	-27344.9	-27347.8	0.235412	0.0912831	NA	NA	NA	NA	MMETSP0795_Amoebophrya_sp_Ameob2	Amoebophyra	Goniodomaceae	Syndiniales	Dinophyceae			Eukaryota	Dinophyceae
0	1	0	query.align	KJ763265.1.1766_U_10_S55_15242	1	394	1	1	-23587.2	-23590.3	0.00411204	0.00630249	NA	NA	NA	NA	MMETSP0933_Bathycoccus_prasinos_BCC99000	Bathycoccus	Bathycoccaceae	Mamiellales	Mamiellophyceae	Chlorophyta	Viridiplantae	Eukaryota	Chlorophyta
1	0	0	query.align	GU355683.1.1206_U_15_S60_3608	1	573	1	1	-26425.4	-26428.9	0.00679278	0.0376333	NA	NA	NA	NA	MMETSP0253_Noctiluca_scintillans	Noctiluca	Noctilucaceae	Noctilucales	Dinophyceae			Eukaryota	Dinophyceae
1	0	0	query.align	EU545782.1.992_U_28_S73_3146	1	579	1	1	-26748.3	-26750.8	0.0898993	0.0202946	NA	NA	NA	NA	MMETSP1439_Gonyaulax_spinifera_CCMP409	Gonyaulax	Gonyaulacaceae	Gonyaulacales	Dinophyceae			Eukaryota	Dinophyceae
0	0	0	query.align	KJ759190.1.1773_U_37_S82_73557	1	613	0.863847	0.95141	-26221.7	-26223.7	0.032418	0.0852376	NA	NA	NA	NA	MMETSP0208_Strombidium_inclinatum_S3	Strombidium	Strombidiidae		Spirotrichea			Eukaryota	Spirotrichea
0	1	0	query.align	JQ315672.1.1167_U_M355_S26_8993	1	218	1	1	-26777.9	-26780.6	0.0310967	0.0871489	NA	NA	NA	NA	MMETSP0174_Proboscia_alata_PI_D3	Proboscia	Rhizosoleniaceae	Rhizosoleniales	Coscinodiscophyceae	Bacillariophyta		Eukaryota	Bacillariophyta
0	0	0	query.align	GU823389.1.1072_U_15_S60_40396	1	136	0.975694	0.96049	-26726.7	-26729.8	0.0629724	0.0994709	NA	NA	NA	NA	MMETSP0751_Chaetoceros_neogracile_CCMP1317	Chaetoceros	Chaetocerotaceae	Chaetocerotales	Coscinodiscophyceae	Bacillariophyta		Eukaryota	Bacillariophyta
0	0	1	query.align	DQ457009.1.1744_U_M356_S18_85298	1	98	0.962869	0.968712	-27053.1	-27054.9	0.00386031	0.0237525	NA	NA	NA	NA	MMETSP1071_Thalassiosira_sp_NH16	Thalassiosira	Thalassiosiraceae	Thalassiosirales	Coscinodiscophyceae	Bacillariophyta		Eukaryota	Bacillariophyta
0	1	0	query.align	EF172963.1.1667_U_M368_S12_65374	1	318	1	1	-23623.9	-23627	0.0460063	0.151864	NA	NA	NA	NA	MMETSP1049_Proteomonas_sulcata_CCMP704	Proteomonas	Geminigeraceae	Pyrenomonadales		Cryptophyta		Eukaryota	Cryptophyta
0	0	0	query.align	KF130105.1.1758_U_33_S78_9144	1	493	1	1	-26848.5	-26852.1	0.268744	0.173705	NA	NA	NA	NA	MMETSP0795_Amoebophrya_sp_Ameob2	Amoebophyra	Goniodomaceae	Syndiniales	Dinophyceae			Eukaryota	Dinophyceae
0	0	0	query.align	KF130493.1.1739_U_37_S82_18419	1	613	0.936924	0.971695	-26390.2	-26392.3	0.0255461	0.0906747	NA	NA	NA	NA	MMETSP0208_Strombidium_inclinatum_S3	Strombidium	Strombidiidae		Spirotrichea			Eukaryota	Spirotrichea
0	0	0	query.align	AB686255.1.1713_U_M355_S26_16791	1	550	0.874084	0.910639	-26420.9	-26422.9	0.0282319	0.0522502	NA	NA	NA	NA	MMETSP0227_Polarella_glacialis_CCMP1383	Polarella	Suessiaceae	Suessiales	Dinophyceae			Eukaryota	Dinophyceae
0	0	0	query.align	JQ956297.1.1696_U_M355_S26_604	1	493	1	1	-26289.4	-26292.8	0.195902	0.148964	NA	NA	NA	NA	MMETSP0795_Amoebophrya_sp_Ameob2	Amoebophyra	Goniodomaceae	Syndiniales	Dinophyceae			Eukaryota	Dinophyceae
0	0	0	query.align	AY421771.1.1788_U_28_S73_4018	1	496	1	1	-26774.8	-26777.5	0.00796968	0.0421571	NA	NA	NA	NA	MMETSP0223_Akashiwo_sanguinea_CCCM885	Akashiwo	Gymnodiniaceae	Gymnodiniales	Dinophyceae			Eukaryota	Dinophyceae
0	0	0	query.align	KC582953.1.1788_U_14_S59_71837	1	493	1	1	-26376	-26379.9	0.212305	0.206098	NA	NA	NA	NA	MMETSP0795_Amoebophrya_sp_Ameob2	Amoebophyra	Goniodomaceae	Syndiniales	Dinophyceae			Eukaryota	Dinophyceae
0	1	0	query.align	HQ413685.1.1916_U_M363_S24_46488	1	147	1	1	-26568.7	-26571.3	0.0135576	0.00846426	NA	NA	NA	NA	MMETSP0696_Extubocellulus_spinifer_CCMP396	Extubocellulus	Cymatosiraceae	Cymatosirales	Mediophyceae	Bacillariophyta		Eukaryota	Bacillariophyta
0	0	0	query.align	HQ870118.1.850_U_M358_S15_7008	1	493	1	1	-26743.5	-26747.5	0.224134	0.222983	NA	NA	NA	NA	MMETSP0795_Amoebophrya_sp_Ameob2	Amoebophyra	Goniodomaceae	Syndiniales	Dinophyceae			Eukaryota	Dinophyceae
0	0	0	query.align	EU818587.1.963_U_15_S60_48428	1	493	1	1	-26940.5	-26944	0.20332	0.16902	NA	NA	NA	NA	MMETSP0795_Amoebophrya_sp_Ameob2	Amoebophyra	Goniodomaceae	Syndiniales	Dinophyceae			Eukaryota	Dinophyceae
0	1	0	query.align	KF130040.1.1763_U_M356_S18_27494	1	318	0.976128	0.982288	-26297.5	-26301.7	0.0730113	0.273538	NA	NA	NA	NA	MMETSP1049_Proteomonas_sulcata_CCMP704	Proteomonas	Geminigeraceae	Pyrenomonadales		Cryptophyta		Eukaryota	Cryptophyta
0	0	0	query.align	FJ824124.1.1823_U_32_S77_54521	1	629	1	1	-23990.2	-23993	0.0391539	0.114783	NA	NA	NA	NA	MMETSP0086_Unidentifiedeukaryote_sp_D1								Unidentified
0	0	0	query.align	KF129798.1.1760_U_14_S59_21827	1	493	1	1	-27086.2	-27089.1	0.21371	0.0946063	NA	NA	NA	NA	MMETSP0795_Amoebophrya_sp_Ameob2	Amoebophyra	Goniodomaceae	Syndiniales	Dinophyceae			Eukaryota	Dinophyceae
1	0	0	query.align	AB601109_4_S49_43072	1	250	0.961044	0.981318	-26552.4	-26554.8	0.0339913	0.00399216	NA	NA	NA	NA	MMETSP0287_Chrysochromulina_rotalis_UIO044	Chrysochromulina	Chrysochromulinaceae	Prymnesiales	Haptophyceae			Eukaryota	Haptophyceae
0	0	0	query.align	New.ReferenceOTU116_M359_S10_87780	1	496	0.973101	0.955386	-26650.4	-26652.8	0.0317434	0.054753	NA	NA	NA	NA	MMETSP0223_Akashiwo_sanguinea_CCCM885	Akashiwo	Gymnodiniaceae	Gymnodiniales	Dinophyceae			Eukaryota	Dinophyceae
0	0	0	query.align	EU793900.1.1420_U_20_S65_18467	1	493	1	1	-26453.2	-26456.2	0.215214	0.105895	NA	NA	NA	NA	MMETSP0795_Amoebophrya_sp_Ameob2	Amoebophyra	Goniodomaceae	Syndiniales	Dinophyceae			Eukaryota	Dinophyceae
0	0	0	query.align	GU969205.1.1701_U_M357_S21_1346	1	451	0.833525	0.920757	-24840	-24845.9	0.16423	0.447372	NA	NA	NA	NA	MMETSP0232_Debaryomyces_hansenii_J26	Debaryomyces	Debaryomycetaceae	Saccharomycetales	Saccharomycetes	Ascomycota	Fungi	Eukaryota	Ascomycota
0	0	0	query.align	KJ762607.1.1723_U_M363_S24_30139	1	594	0.991363	0.993562	-23813.2	-23818.6	0.069354	0.414293	NA	NA	NA	NA	MMETSP0127_Platyophrya_macrostoma_WH	Platyophrya	Platyophryidae	Cyrtolophosidida	Colpodea			Eukaryota	Colpodea
0	0	0	query.align	EU793287.1.1534_U_13_S58_58239	1	493	1	1	-26419.7	-26422.5	0.1996	0.0926974	NA	NA	NA	NA	MMETSP0795_Amoebophrya_sp_Ameob2	Amoebophyra	Goniodomaceae	Syndiniales	Dinophyceae			Eukaryota	Dinophyceae
0	0	0	query.align	KF130057.1.1757_U_13_S58_48022	1	493	1	1	-26772.3	-26775.9	0.21742	0.177279	NA	NA	NA	NA	MMETSP0795_Amoebophrya_sp_Ameob2	Amoebophyra	Goniodomaceae	Syndiniales	Dinophyceae			Eukaryota	Dinophyceae
0	1	0	query.align	HQ394099.1.841_U_M356_S18_57835	1	222	1	1	-20823	-20825.6	0.0310522	0.0151334	NA	NA	NA	NA	MMETSP0322_Leptocylindrus_danicusvar_apora_B651	Leptocylindrus	Leptocylindraceae	Leptocylindrales	Coscinodiscophyceae	Bacillariophyta		Eukaryota	Bacillariophyta
0	0	0	query.align	HQ869716.1.901_U_M355_S26_31770	1	493	1	1	-26101.6	-26106.2	0.20766	0.298011	NA	NA	NA	NA	MMETSP0795_Amoebophrya_sp_Ameob2	Amoebophyra	Goniodomaceae	Syndiniales	Dinophyceae			Eukaryota	Dinophyceae
0	0	0	query.align	FJ914487.1.1499_U_6_S51_16536	1	493	1	1	-27053.9	-27057.3	0.214406	0.151447	NA	NA	NA	NA	MMETSP0795_Amoebophrya_sp_Ameob2	Amoebophyra	Goniodomaceae	Syndiniales	Dinophyceae			Eukaryota	Dinophyceae
0	0	0	query.align	EF172977.1.1676_U_M365_S20_2656	1	493	1	1	-25920.7	-25924.2	0.209063	0.170428	NA	NA	NA	NA	MMETSP0795_Amoebophrya_sp_Ameob2	Amoebophyra	Goniodomaceae	Syndiniales	Dinophyceae			Eukaryota	Dinophyceae
0	0	0	query.align	GU822058.1.1193_U_M368_S12_12545	1	430	0.998112	0.999898	-22757.9	-22765	0.567312	0.528173	NA	NA	NA	NA	MMETSP0413_Filamoeba_nolandi_NC_AS_23_1	Filamoeba	Echinamoebidae					Eukaryota	Echinamoebidae
0	0	0	query.align	JN090899.1.1819_U_28_S73_23683	1	629	1	1	-27657.1	-27660.2	0.0451327	0.152045	NA	NA	NA	NA	MMETSP0086_Unidentifiedeukaryote_sp_D1								Unidentified
